IterationNumber,PersonPopulation,VirusPopulation,PersonsAge,VirusesAge,personsHealthy,personsRecoverd,personsInfected,personsReinfected,personsInfectionCounter,personsInfectious,personsRecoverdImmuneNotinfectious,PersonsMoveDistance,VirusesMoveDistance
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
1,5000,5000,4,5,4571,0,106,0,"0,1678",839,26,"17,55266424055701","31,8576422064653"
